순위,제목,출시날짜,장르1,장르2
633,Pirates Outlaws,2019,전략,기타
634,虚构世界,2021,퍼즐,기타
635,Dead Island：Riptide,2016,슈팅,
636,死亡岛2,,RPG,
637,Troubleshooter,2020,RPG,
638,深渊探索者,,RPG,기타
639, Mysterious world,2021,퍼즐,
640,魔石,2008,인디,
641,Liberated,2020,슈팅,
642,蜘蛛侠3,,액션,어드벤쳐
643,I wanna be the Creator,2019,인디,
644,雪色旅途,,RPG,
645,阿玛拉王国：惩罚重制版,2020,RPG,
646,狼人杀单机版,2019,보드,沟通类
647,决战朝鲜,1999,전략,
648,Run For Cover,2019,전략,
649,淘金热,2017,전략,시뮬레이션
650,魔法洞穴2,2015,인디,
651,Dragon Star Varnir,2019,RPG,
652,众生,2018,전략,시뮬레이션
653,Dungeon Warfare 2,2018,전략,
654,Doom 3,2004,슈팅,
655,Forza Motorsport 8,,레이싱,
656,黑暗之门,2015,인디,
657,Zuma's Revenge!,2009,퍼즐,기타
658,Splendor,2015,전략,기타
659,Fushigi no Gensoukyou: The Tower of Desire,2018,전략,
660,无尽空间2,2017,전략,
661,Silent Hill - Shattered Memories,,RPG,
662,NBA 2K20,2019,스포츠,篮球
663,Killer7,2018,슈팅,
664,凶手不是我,2019,전략,시뮬레이션
665,Nyakori's Rabbit Doll,2020,RPG,기타
666,STARLIT SEASON,2021,전략,시뮬레이션
667,看火人,2016,인디,
668,Hand of Fate 2,2017,RPG,기타
669,Speed Brawl,2018,액션,격투
670,宝石迷阵3,2010,퍼즐,消除
671,被虐的诺艾尔,2018,인디,
672,暗牌,2020,전략,卡片
673,Visage,2020,퍼즐,
674,新美妙世界,2021,인디,
675,Blade of God,2020,RPG,
676,Teardown,2020,인디,
677,Gunpoint,2013,액션,기타
678,EVERSPACE™,2017,슈팅,飞机
679,迷雾之夏,2020,전략,기타
680,Endless Road,2018,전략,卡片
681,Angels of Death,2016,인디,
682,DEVOUR,2021,RPG,
683,Build It,,액션,어드벤쳐
684,Yomawari,2016,RPG,기타
685,星噬,2009,인디,
686,Cris Tales,2021,RPG,
687,Bastion,2011,RPG,기타
688,Trine 2,2013,액션,플랫폼
689,Survival Simulator,2020,인디,
